state,district,market,commodity,variety,min_price,max_price,modal_price,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,18,30,29.0,26.7627493,92.86056895,6.420018717,224.5903664,2800
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,37,23,28.0,25.61294367,94.3138837,5.740054567,224.3206759,1400
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,13,28,33.0,28.130115,95.64807631,5.686972967,151.0761899,900
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,2,21,35.0,25.02887163,91.53720922,6.293662363,179.8248944,1000
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,10,18,35.0,27.79797651,99.64573002,6.381975465,181.6942283,900
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,7,11,32.0,29.25902906,95.11294697,5.542169139,184.7624496,900
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,39,5,31.0,27.10134661,93.69979946,5.551963184,150.9502632,6475
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,34,6,27.0,25.84726298,90.92669463,5.860740481,147.8888994,500
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,31,30,29.0,26.58580443,90.98617591,5.558807063,178.8116076,5800
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,25,7,35.0,28.38503882,99.18843684,5.55771171,189.6711349,900
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,16,18,26.0,28.43647052,91.81320717,5.568365926,145.5414413,1400
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,26,10,33.0,28.27298134,96.93649473,6.07071786,198.8234862,1500
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,27,8,32.0,27.00648436,96.46168931,5.627860549,144.3331315,3800
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,37,18,30.0,27.63551259,99.34854917,6.38488418,157.9171537,900
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,19,15,34.0,26.29644905,99.65809151,5.685889066,215.9195049,1775
Andaman and Nicobar,South Andaman,Port Blair,coconut,Big,5400,6000,5600,0,19,33.0,27.1326009,95.23797989,6.234458417,204.7206567,1752
